Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Canada,Carretera,,1618.500,3,20,32370.000,0.000,32370.000,16185.000,16185.000,2014-01-01,1,January,2014
Government,Germany,Carretera,,1321.000,3,20,26420.000,0.000,26420.000,13210.000,13210.000,2014-01-01,1,January,2014
Midmarket,France,Carretera,,2178.000,3,15,32670.000,0.000,32670.000,21780.000,10890.000,2014-06-01,6,June,2014
Midmarket,Germany,Carretera,,888.000,3,15,13320.000,0.000,13320.000,8880.000,4440.000,2014-06-01,6,June,2014
Midmarket,Mexico,Carretera,,2470.000,3,15,37050.000,0.000,37050.000,24700.000,12350.000,2014-06-01,6,June,2014
Government,Germany,Carretera,,1513.000,3,350,529550.000,0.000,529550.000,393380.000,136170.000,2014-12-01,12,December,2014
Midmarket,Germany,Montana,,921.000,5,15,13815.000,0.000,13815.000,9210.000,4605.000,2014-03-01,3,March,2014
Channel Partners,Canada,Montana,,2518.000,5,12,30216.000,0.000,30216.000,7554.000,22662.000,2014-06-01,6,June,2014
Government,France,Montana,,1899.000,5,20,37980.000,0.000,37980.000,18990.000,18990.000,2014-06-01,6,June,2014
Channel Partners,Germany,Montana,,1545.000,5,12,18540.000,0.000,18540.000,4635.000,13905.000,2014-06-01,6,June,2014
Midmarket,Mexico,Montana,,2470.000,5,15,37050.000,0.000,37050.000,24700.000,12350.000,2014-06-01,6,June,2014
Enterprise,Canada,Montana,,2665.500,5,125,333187.500,0.000,333187.500,319860.000,13327.500,2014-07-01,7,July,2014
Small Business,Mexico,Montana,,958.000,5,300,287400.000,0.000,287400.000,239500.000,47900.000,2014-08-01,8,August,2014
Government,Germany,Montana,,2146.000,5,7,15022.000,0.000,15022.000,10730.000,4292.000,2014-09-01,9,September,2014
Enterprise,Canada,Montana,,345.000,5,125,43125.000,0.000,43125.000,41400.000,1725.000,2013-10-01,10,October,2013
Midmarket,United States of America,Montana,,615.000,5,15,9225.000,0.000,9225.000,6150.000,3075.000,2014-12-01,12,December,2014
Government,Canada,Paseo,,292.000,10,20,5840.000,0.000,5840.000,2920.000,2920.000,2014-02-01,2,February,2014
Midmarket,Mexico,Paseo,,974.000,10,15,14610.000,0.000,14610.000,9740.000,4870.000,2014-02-01,2,February,2014
Channel Partners,Canada,Paseo,,2518.000,10,12,30216.000,0.000,30216.000,7554.000,22662.000,2014-06-01,6,June,2014
Government,Germany,Paseo,,1006.000,10,350,352100.000,0.000,352100.000,261560.000,90540.000,2014-06-01,6,June,2014
